EXP044698	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055974; READS055975; READS055976; READS055977	ALIGNS049780	PEAKS044685	GSE105576	ENCSR356ECR	EXP044671	430	HepG2 (hepatoblastoma)	READS055908; READS055909	ALIGNS049753	GSE106027	ENCSR867VPL
EXP045104	U2AF2_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057090; READS057091	ALIGNS050186	PEAKS045091	GSE105688	ENCSR479QAJ	EXP044664	514	K562 (myelogenous leukemia)	READS055895; READS055896	ALIGNS049746	GSE105930	ENCSR966DOU
EXP045122	U2AF1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057138; READS057139	ALIGNS050204	PEAKS045109	GSE105685	ENCSR690GUG	EXP044664	514	K562 (myelogenous leukemia)	READS055895; READS055896	ALIGNS049746	GSE105930	ENCSR966DOU
EXP045201	HNRH1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057373; READS057374	ALIGNS050283	PEAKS045188	None	ENCSR581CVA	EXP044664	514	K562 (myelogenous leukemia)	READS055895; READS055896	ALIGNS049746	GSE105930	ENCSR966DOU
EXP045310	ILK_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057689; READS057690; READS057691; READS057692	ALIGNS050392	PEAKS045297	GSE91950	ENCSR648INT	EXP044662	514	K562 (myelogenous leukemia)	READS055892; READS055893	ALIGNS049744	GSE91811	ENCSR489RLS
EXP045293	EP300_HUMAN	Homo sapiens	1167	esophagus muscularis mucosa	READS057636; READS057637	ALIGNS050375	PEAKS045280	GSE105579	ENCSR360BLQ	EXP044661	1167	esophagus muscularis mucosa	READS055890; READS055891	ALIGNS049743	GSE105199	ENCSR014XSP
EXP045244	EP300_HUMAN	Homo sapiens	1157	stomach	READS057498; READS057499	ALIGNS050326	PEAKS045231	None	ENCSR411SUC	EXP044660	1157	stomach	READS055888; READS055889	ALIGNS049742	None	ENCSR905UJI
EXP045318	EP300_HUMAN	Homo sapiens	1140	subcutaneous adipose tissue	READS057714; READS057715	ALIGNS050400	PEAKS045305	GSE105985	ENCSR980OPB	EXP044659	1140	subcutaneous adipose tissue	READS055886; READS055887	ALIGNS049741	GSE105191	ENCSR009SHE
EXP044844	EP300_HUMAN	Homo sapiens	1179	tibial nerve	READS056383; READS056384	ALIGNS049926	PEAKS044831	GSE105746	ENCSR580XUK	EXP044658	1179	tibial nerve	READS055884; READS055885	ALIGNS049740	GSE105946	ENCSR846VRM
EXP045202	T2FA_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057375; READS057376; READS057377; READS057378	ALIGNS050284	PEAKS045189	None	ENCSR377BLZ	EXP044657	514	K562 (myelogenous leukemia)	READS055882; READS055883	ALIGNS049739	None	ENCSR483GYO
EXP045206	None	Homo sapiens	514	K562 (myelogenous leukemia)	READS057387; READS057388	ALIGNS050288	PEAKS045193	None	ENCSR030OKC	EXP044657	514	K562 (myelogenous leukemia)	READS055882; READS055883	ALIGNS049739	None	ENCSR483GYO
EXP045311	SAFB1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057693; READS057694	ALIGNS050393	PEAKS045298	None	ENCSR072VUO	EXP044657	514	K562 (myelogenous leukemia)	READS055882; READS055883	ALIGNS049739	None	ENCSR483GYO
EXP044941	PTBP1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056664; READS056665; READS056666; READS056667	ALIGNS050023	PEAKS044928	None	ENCSR156APP	EXP044656	430	HepG2 (hepatoblastoma)	READS055880; READS055881	ALIGNS049738	None	ENCSR792MRQ
EXP045103	HNRPQ_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057088; READS057089	ALIGNS050185	PEAKS045090	None	ENCSR625ORP	EXP044656	430	HepG2 (hepatoblastoma)	READS055880; READS055881	ALIGNS049738	None	ENCSR792MRQ
EXP045264	EP300_HUMAN	Homo sapiens	744	breast epithelial cells	READS057553; READS057554	ALIGNS050346	PEAKS045251	GSE105640	ENCSR528UBJ	EXP044655	744	breast epithelial cells	READS055878; READS055879	ALIGNS049737	GSE106033	ENCSR869JUM
EXP045050	EP300_HUMAN	Homo sapiens	1167	esophagus muscularis mucosa	READS056938; READS056939	ALIGNS050132	PEAKS045037	GSE106057	ENCSR891WPD	EXP044654	1167	esophagus muscularis mucosa	READS055876; READS055877	ALIGNS049736	GSE105611	ENCSR662VAE
EXP044817	EP300_HUMAN	Homo sapiens	1163	transverse colon	READS056297; READS056298	ALIGNS049899	PEAKS044804	GSE105989	ENCSR761RDB	EXP044653	1163	transverse colon	READS055874; READS055875	ALIGNS049735	GSE105847	ENCSR717TBA
EXP045251	EP300_HUMAN	Homo sapiens	1129	suprapubic skin	READS057516; READS057517	ALIGNS050333	PEAKS045238	GSE105412	ENCSR270TYZ	EXP044652	1129	suprapubic skin	READS055872; READS055873	ALIGNS049734	GSE105319	ENCSR213GWR
EXP044932	EP300_HUMAN	Homo sapiens	744	breast epithelial cells	READS056642; READS056643	ALIGNS050014	PEAKS044919	GSE105559	ENCSR346DKN	EXP044651	744	breast epithelial cells	READS055870; READS055871	ALIGNS049733	GSE106009	ENCSR774ONS
EXP044815	EP300_HUMAN	Homo sapiens	1157	stomach	READS056293; READS056294	ALIGNS049897	PEAKS044802	GSE105354	ENCSR228ZPZ	EXP044650	1157	stomach	READS055868; READS055869	ALIGNS049732	GSE105548	ENCSR637MGJ
EXP045286	EP300_HUMAN	Homo sapiens	744	breast epithelial cells	READS057618; READS057619	ALIGNS050368	PEAKS045273	GSE105463	ENCSR501LEH	EXP044649	744	breast epithelial cells	READS055866; READS055867	ALIGNS049731	GSE105352	ENCSR226SNN
EXP045099	XRCC5_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057075; READS057076	ALIGNS050181	PEAKS045086	None	ENCSR506KWJ	EXP044648	514	K562 (myelogenous leukemia)	READS055864; READS055865	ALIGNS049730	None	ENCSR464FDA
EXP045223	EP300_HUMAN	Homo sapiens	1169	sigmoid colon	READS057434; READS057435	ALIGNS050305	PEAKS045210	GSE105384	ENCSR244ZAO	EXP044647	1169	sigmoid colon	READS055862; READS055863	ALIGNS049729	GSE105571	ENCSR509RYG
EXP044998	EP300_HUMAN	Homo sapiens	1181	upper lobe of left lung	READS056803; READS056804	ALIGNS050080	PEAKS044985	GSE105168	ENCSR000MMZ	EXP044646	1181	upper lobe of left lung	READS055860; READS055861	ALIGNS049728	GSE105646	ENCSR398EZJ
EXP044878	EP300_HUMAN	Homo sapiens	1179	tibial nerve	READS056476; READS056477	ALIGNS049960	PEAKS044865	GSE105730	ENCSR569SZK	EXP044645	1179	tibial nerve	READS055858; READS055859	ALIGNS049727	GSE106053	ENCSR889VXP
EXP045125	SRSF7_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057148; READS057149	ALIGNS050207	PEAKS045112	GSE105338	ENCSR222MYK	EXP044644	514	K562 (myelogenous leukemia)	READS055856; READS055857	ALIGNS049726	GSE105619	ENCSR457PLC
EXP045167	RBM14_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057278; READS057279	ALIGNS050249	PEAKS045154	None	ENCSR423FCW	EXP044644	514	K562 (myelogenous leukemia)	READS055856; READS055857	ALIGNS049726	GSE105619	ENCSR457PLC
EXP045228	SRSF3_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057450; READS057451	ALIGNS050310	PEAKS045215	None	ENCSR268QIQ	EXP044644	514	K562 (myelogenous leukemia)	READS055856; READS055857	ALIGNS049726	GSE105619	ENCSR457PLC
EXP045263	SRSF9_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057551; READS057552	ALIGNS050345	PEAKS045250	None	ENCSR814AJH	EXP044644	514	K562 (myelogenous leukemia)	READS055856; READS055857	ALIGNS049726	GSE105619	ENCSR457PLC
EXP045185	EP300_HUMAN	Homo sapiens	1140	subcutaneous adipose tissue	READS057332; READS057333	ALIGNS050267	PEAKS045172	GSE105326	ENCSR147VKD	EXP044643	1140	subcutaneous adipose tissue	READS055854; READS055855	ALIGNS049725	GSE105425	ENCSR281NCY
EXP044825	EZH2_HUMAN	Homo sapiens	289	SK-N-MC (Askin tumor)	READS056322; READS056323; READS056324; READS056325; READS056326; READS056327	ALIGNS049907	PEAKS044812	None	ENCSR113GDB	EXP044642	289	SK-N-MC (Askin tumor)	READS055849; READS055850; READS055851; READS055852; READS055853	ALIGNS049724	GSE96457	ENCSR899XXQ
EXP045123	PTTG1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057140; READS057141; READS057142; READS057143	ALIGNS050205	PEAKS045110	GSE91656	ENCSR314BBS	EXP044641	514	K562 (myelogenous leukemia)	READS055847; READS055848	ALIGNS049723	GSE91463	ENCSR085OAX
EXP044681	EZH2_HUMAN	Homo sapiens	1419	GM23248	READS055934; READS055935; READS055936; READS055937	ALIGNS049763	PEAKS044668	None	ENCSR131FFJ	EXP044640	1419	GM23248	READS055828; READS055829; READS055830; READS055831; READS055832; READS055833; READS055834; READS055835; READS055836; READS055837; READS055838; READS055839; READS055840; READS055841; READS055842; READS055843; READS055844; READS055845; READS055846	ALIGNS049722	GSE86772	ENCSR922FLS
EXP045077	EZH2_HUMAN	Homo sapiens	1419	GM23248	READS057002; READS057003; READS057004; READS057005	ALIGNS050159	PEAKS045064	None	ENCSR096KPA	EXP044640	1419	GM23248	READS055828; READS055829; READS055830; READS055831; READS055832; READS055833; READS055834; READS055835; READS055836; READS055837; READS055838; READS055839; READS055840; READS055841; READS055842; READS055843; READS055844; READS055845; READS055846	ALIGNS049722	GSE86772	ENCSR922FLS
EXP045216	EP300_HUMAN	Homo sapiens	1181	upper lobe of left lung	READS057417; READS057418	ALIGNS050298	PEAKS045203	GSE105433	ENCSR290QBB	EXP044639	1181	upper lobe of left lung	READS055826; READS055827	ALIGNS049721	GSE105904	ENCSR949XFR
EXP044954	EP300_HUMAN	Homo sapiens	1167	esophagus muscularis mucosa	READS056694; READS056695	ALIGNS050036	PEAKS044941	GSE105292	ENCSR116RGC	EXP044637	1167	esophagus muscularis mucosa	READS055823; READS055824	ALIGNS049719	GSE105390	ENCSR249UPE
EXP044849	EP300_HUMAN	Homo sapiens	1129	suprapubic skin	READS056398; READS056399	ALIGNS049931	PEAKS044836	GSE106008	ENCSR773QRB	EXP044636	1129	suprapubic skin	READS055821; READS055822	ALIGNS049718	GSE105351	ENCSR225UUX
EXP045172	EP300_HUMAN	Homo sapiens	1154	omental fat pad	READS057294; READS057295	ALIGNS050254	PEAKS045159	GSE105663	ENCSR677FYM	EXP044635	1154	omental fat pad	READS055819; READS055820	ALIGNS049717	GSE105702	ENCSR483JPG
EXP044787	RFOX2_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056205; READS056206	ALIGNS049869	PEAKS044774	GSE106042	ENCSR784FYS	EXP044634	430	HepG2 (hepatoblastoma)	READS055817; READS055818	ALIGNS049716	GSE105676	ENCSR545RWZ
EXP044855	XRCC5_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056415; READS056416	ALIGNS049937	PEAKS044842	None	ENCSR031URL	EXP044634	430	HepG2 (hepatoblastoma)	READS055817; READS055818	ALIGNS049716	GSE105676	ENCSR545RWZ
EXP045186	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057334; READS057335	ALIGNS050268	PEAKS045173	None	ENCSR151NQL	EXP044634	430	HepG2 (hepatoblastoma)	READS055817; READS055818	ALIGNS049716	GSE105676	ENCSR545RWZ
EXP045200	HNRH1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057371; READS057372	ALIGNS050282	PEAKS045187	None	ENCSR066FXN	EXP044634	430	HepG2 (hepatoblastoma)	READS055817; READS055818	ALIGNS049716	GSE105676	ENCSR545RWZ
EXP045209	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057395; READS057396	ALIGNS050291	PEAKS045196	None	ENCSR555ZMV	EXP044634	430	HepG2 (hepatoblastoma)	READS055817; READS055818	ALIGNS049716	GSE105676	ENCSR545RWZ
EXP045319	HNRLL_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057716; READS057717	ALIGNS050401	PEAKS045306	None	ENCSR804HMZ	EXP044634	430	HepG2 (hepatoblastoma)	READS055817; READS055818	ALIGNS049716	GSE105676	ENCSR545RWZ
EXP044948	PYGO2_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056680; READS056681; READS056682; READS056683	ALIGNS050030	PEAKS044935	GSE91739	ENCSR410DWC	EXP044633	514	K562 (myelogenous leukemia)	READS055815; READS055816	ALIGNS049715	GSE91642	ENCSR298DKW
EXP045181	EP300_HUMAN	Homo sapiens	1149	testis	READS057325; READS057326	ALIGNS050263	PEAKS045168	GSE105195	ENCSR046INL	EXP044632	1149	testis	READS055813; READS055814	ALIGNS049714	GSE105621	ENCSR666SXC
EXP044704	FUS_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055990; READS055991	ALIGNS049786	PEAKS044691	GSE105756	ENCSR590QQP	EXP044631	430	HepG2 (hepatoblastoma)	READS055811; READS055812	ALIGNS049713	GSE105963	ENCSR748EXO
EXP045196	RBP56_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057359; READS057360; READS057361; READS057362	ALIGNS050278	PEAKS045183	None	ENCSR825MZS	EXP044631	430	HepG2 (hepatoblastoma)	READS055811; READS055812	ALIGNS049713	GSE105963	ENCSR748EXO
EXP044862	HNRPL_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056432; READS056433	ALIGNS049944	PEAKS044849	GSE105758	ENCSR594BNR	EXP044630	514	K562 (myelogenous leukemia)	READS055809; READS055810	ALIGNS049712	GSE105563	ENCSR436OZQ
EXP045188	RBP56_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057338; READS057339	ALIGNS050270	PEAKS045175	GSE105202	ENCSR047LSJ	EXP044630	514	K562 (myelogenous leukemia)	READS055809; READS055810	ALIGNS049712	GSE105563	ENCSR436OZQ
EXP045254	HNRLL_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057524; READS057525	ALIGNS050336	PEAKS045241	None	ENCSR112RNT	EXP044630	514	K562 (myelogenous leukemia)	READS055809; READS055810	ALIGNS049712	GSE105563	ENCSR436OZQ
EXP044988	TAF7_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056770; READS056771; READS056772; READS056773	ALIGNS050070	PEAKS044975	GSE91976	ENCSR671GFC	EXP044629	514	K562 (myelogenous leukemia)	READS055807; READS055808	ALIGNS049711	GSE91566	ENCSR198KYG
EXP044695	TADBP_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055966; READS055967	ALIGNS049777	PEAKS044682	None	ENCSR145CXH	EXP044628	430	HepG2 (hepatoblastoma)	READS055805; READS055806	ALIGNS049710	None	ENCSR352VNP
EXP044917	None	Homo sapiens	514	K562 (myelogenous leukemia)	READS056597; READS056598; READS056599; READS056600	ALIGNS049999	PEAKS044904	GSE91711	ENCSR382AIB	EXP044627	514	K562 (myelogenous leukemia)	READS055803; READS055804	ALIGNS049709	GSE92203	ENCSR978IXJ
EXP044879	EP300_HUMAN	Homo sapiens	1129	suprapubic skin	READS056478; READS056479	ALIGNS049961	PEAKS044866	GSE105460	ENCSR300KUL	EXP044626	1129	suprapubic skin	READS055801; READS055802	ALIGNS049708	GSE105851	ENCSR915TAF
EXP044839	EP300_HUMAN	Homo sapiens	1129	suprapubic skin	READS056369; READS056370	ALIGNS049921	PEAKS044826	GSE105880	ENCSR928LDG	EXP044625	1129	suprapubic skin	READS055799; READS055800	ALIGNS049707	GSE105276	ENCSR106JXD
EXP045097	CAVN1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057069; READS057070; READS057071; READS057072	ALIGNS050179	PEAKS045084	GSE91514	ENCSR126FZN	EXP044624	514	K562 (myelogenous leukemia)	READS055797; READS055798	ALIGNS049706	GSE91705	ENCSR369LPC
EXP045229	EP300_HUMAN	Homo sapiens	1156	gastroesophageal sphincter	READS057452; READS057453	ALIGNS050311	PEAKS045216	GSE105712	ENCSR551MLB	EXP044623	1156	gastroesophageal sphincter	READS055795; READS055796	ALIGNS049705	GSE105965	ENCSR976KYQ
EXP045144	EP300_HUMAN	Homo sapiens	1163	transverse colon	READS057212; READS057213	ALIGNS050226	PEAKS045131	GSE105809	ENCSR704IJM	EXP044622	1163	transverse colon	READS055793; READS055794	ALIGNS049704	GSE105324	ENCSR147NJH
EXP045245	EP300_HUMAN	Homo sapiens	1157	stomach	READS057500; READS057501	ALIGNS050327	PEAKS045232	GSE105743	ENCSR573WYW	EXP044621	1157	stomach	READS055791; READS055792	ALIGNS049703	GSE105603	ENCSR516EKI
EXP045230	EP300_HUMAN	Homo sapiens	1156	gastroesophageal sphincter	READS057454; READS057455	ALIGNS050312	PEAKS045217	GSE105801	ENCSR906OMM	EXP044620	1156	gastroesophageal sphincter	READS055789; READS055790	ALIGNS049702	GSE105529	ENCSR336ZYT
EXP044851	RBM25_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056403; READS056404; READS056405; READS056406	ALIGNS049933	PEAKS044838	None	ENCSR791OZM	EXP044619	514	K562 (myelogenous leukemia)	READS055787; READS055788	ALIGNS049701	GSE105239	ENCSR084AIG
EXP044965	SAFB2_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056719; READS056720; READS056721	ALIGNS050047	PEAKS044952	None	ENCSR724GSW	EXP044619	514	K562 (myelogenous leukemia)	READS055787; READS055788	ALIGNS049701	GSE105239	ENCSR084AIG
EXP045153	None	Homo sapiens	514	K562 (myelogenous leukemia)	READS057233; READS057234; READS057235; READS057236	ALIGNS050235	PEAKS045140	None	ENCSR848AOP	EXP044619	514	K562 (myelogenous leukemia)	READS055787; READS055788	ALIGNS049701	GSE105239	ENCSR084AIG
EXP045164	RBM34_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057270; READS057271	ALIGNS050246	PEAKS045151	None	ENCSR899GSH	EXP044619	514	K562 (myelogenous leukemia)	READS055787; READS055788	ALIGNS049701	GSE105239	ENCSR084AIG
EXP045258	SPF45_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057536; READS057537	ALIGNS050340	PEAKS045245	GSE105927	ENCSR836COE	EXP044619	514	K562 (myelogenous leukemia)	READS055787; READS055788	ALIGNS049701	GSE105239	ENCSR084AIG
EXP045270	RBM15_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057571; READS057572	ALIGNS050352	PEAKS045257	None	ENCSR850WUE	EXP044619	514	K562 (myelogenous leukemia)	READS055787; READS055788	ALIGNS049701	GSE105239	ENCSR084AIG
EXP044961	EP300_HUMAN	Homo sapiens	1156	gastroesophageal sphincter	READS056709; READS056710	ALIGNS050043	PEAKS044948	GSE105242	ENCSR088VUG	EXP044618	1156	gastroesophageal sphincter	READS055785; READS055786	ALIGNS049700	GSE105230	ENCSR023BPG
EXP045151	EP300_HUMAN	Homo sapiens	1154	omental fat pad	READS057229; READS057230	ALIGNS050233	PEAKS045138	GSE105201	ENCSR047DRF	EXP044617	1154	omental fat pad	READS055783; READS055784	ALIGNS049699	GSE105596	ENCSR377VHO
EXP045108	FIP1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057102; READS057103; READS057104	ALIGNS050190	PEAKS045095	None	ENCSR177DNR	EXP044616	514	K562 (myelogenous leukemia)	READS055781; READS055782	ALIGNS049698	None	ENCSR397ZZR
EXP045165	EP300_HUMAN	Homo sapiens	1154	omental fat pad	READS057272; READS057273	ALIGNS050247	PEAKS045152	GSE106038	ENCSR779NON	EXP044615	1154	omental fat pad	READS055779; READS055780	ALIGNS049697	GSE105241	ENCSR088FBX
EXP045247	EP300_HUMAN	Homo sapiens	1167	esophagus muscularis mucosa	READS057506; READS057507	ALIGNS050329	PEAKS045234	GSE106019	ENCSR862NOW	EXP044614	1167	esophagus muscularis mucosa	READS055777; READS055778	ALIGNS049696	GSE105615	ENCSR452KMJ
EXP044711	SRSF4_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056007; READS056008	ALIGNS049793	PEAKS044698	None	ENCSR696MBC	EXP044613	430	HepG2 (hepatoblastoma)	READS055775; READS055776	ALIGNS049695	None	ENCSR079WWH
EXP044836	SRSF9_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056360; READS056361; READS056362; READS056363	ALIGNS049918	PEAKS044823	None	ENCSR624GNZ	EXP044613	430	HepG2 (hepatoblastoma)	READS055775; READS055776	ALIGNS049695	None	ENCSR079WWH
EXP044894	HNRPK_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056513; READS056514; READS056515	ALIGNS049976	PEAKS044881	None	ENCSR519QAA	EXP044612	430	HepG2 (hepatoblastoma)	READS055773; READS055774	ALIGNS049694	None	ENCSR561BTA
EXP045127	EP300_HUMAN	Homo sapiens	1169	sigmoid colon	READS057151; READS057152	ALIGNS050209	PEAKS045114	GSE105818	ENCSR906UPC	EXP044611	1169	sigmoid colon	READS055771; READS055772	ALIGNS049693	GSE105371	ENCSR185GDB
EXP045259	EP300_HUMAN	Homo sapiens	1140	subcutaneous adipose tissue	READS057538; READS057539	ALIGNS050341	PEAKS045246	GSE105359	ENCSR176BAH	EXP044610	1140	subcutaneous adipose tissue	READS055769; READS055770	ALIGNS049692	GSE105533	ENCSR622ZDY
EXP045193	DIDO1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS057349; READS057350; READS057351; READS057352	ALIGNS050275	PEAKS045180	GSE91543	ENCSR167JBG	EXP044609	514	K562 (myelogenous leukemia)	READS055767; READS055768	ALIGNS049691	GSE92011	ENCSR724HDV
EXP044801	EZH2_HUMAN	Homo sapiens	1180	neural cell	READS056244; READS056245	ALIGNS049883	PEAKS044788	None	ENCSR511CUH	EXP044607	1180	neural cell	READS055752; READS055753; READS055754; READS055755; READS055756; READS055757; READS055758; READS055759; READS055760; READS055761; READS055762; READS055763; READS055764; READS055765	ALIGNS049689	GSE96111	ENCSR308JFE
EXP044783	EP300_HUMAN	Homo sapiens	1163	transverse colon	READS056193; READS056194	ALIGNS049865	PEAKS044770	GSE105520	ENCSR429JTR	EXP044606	1163	transverse colon	READS055750; READS055751	ALIGNS049688	GSE105434	ENCSR293DLP
EXP045098	EP300_HUMAN	Homo sapiens	1158	vagina	READS057073; READS057074	ALIGNS050180	PEAKS045085	GSE105959	ENCSR975QNR	EXP044605	1158	vagina	READS055748; READS055749	ALIGNS049687	GSE105651	ENCSR538IHE
EXP044765	PCBP2_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056146; READS056147; READS056148	ALIGNS049847	PEAKS044752	None	ENCSR603REQ	EXP044604	514	K562 (myelogenous leukemia)	READS055746; READS055747	ALIGNS049686	None	ENCSR440JAU
